ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender,Married,Dependents,Education,Self_Employed,Property_Area,mobile_usage_score,transaction_stability_score,bank_balance,total_income,emi,income_to_emi_ratio,credit_utilization,stability_score,cibil_proxy_score,Approved
31511,131719,827850,227,1,Male,Yes,2,Graduate,No,Semiurban,628,300,720159,163230,3646.9162995594716,44.74609245275499,1.0749079086266602,0.6246315789473684,263.5209772701618,1
158181,9309,2114693,300,1,Male,No,2,Graduate,No,Urban,388,307,592618,167490,7048.9766666666665,23.757525438618472,3.2907466021804557,0.5517894736842105,235.85569584622553,0
136095,59628,136438,234,1,Male,Yes,0,Graduate,No,Urban,531,691,165559,195723,583.0683760683761,335.1028886677593,0.6329496796700671,0.7586315789473683,328.2853166344904,0
96192,68739,1143654,218,0,Male,Yes,0,Not Graduate,No,Urban,819,938,796645,164931,5246.119266055046,31.43267603368209,1.3508070088407773,0.653578947368421,309.4890832086323,0
95107,119681,2012353,174,1,Male,No,0,Graduate,Yes,Urban,695,715,794134,214788,11565.247126436781,18.57024129365718,2.3839260117469503,0.8205263157894738,357.9516980083533,0
173840,19354,2384789,97,0,Male,No,0,Graduate,No,Rural,942,912,32781,193194,24585.453608247422,7.857741627901711,28.808410142423988,0.6814736842105262,327.676518916447,0
30899,65108,665973,109,1,Male,Yes,0,Graduate,No,Rural,804,850,20533,96007,6109.844036697248,15.71092297945298,9.442005869592956,0.9117894736842105,364.2595660404118,0
144013,22849,1644446,271,0,Female,No,3+,Not Graduate,No,Urban,534,482,195935,166862,6068.066420664207,27.4938497018028,6.686506597271637,0.3715789473684211,194.56710353031755,1
52271,118145,514728,36,0,Female,No,0,Not Graduate,No,Semiurban,798,366,635179,170416,14298.0,11.918036226309532,0.7512314300350711,0.40610526315789475,208.192910999644,0
32422,94842,333952,41,1,Female,Yes,0,Graduate,No,Semiurban,862,663,478192,127264,8145.170731707317,15.622554963726785,0.6322549375984491,0.8513684210526316,346.92693071929097,0
112398,74510,914904,150,1,Female,No,2,Not Graduate,No,Urban,710,703,410085,186908,6099.36,30.63884754342367,1.9885542888814023,0.8202105263157895,350.464032773457,0
195490,58939,2218477,281,0,Female,No,1,Graduate,No,Semiurban,795,800,332155,254429,7894.935943060498,32.222779140401975,5.8051759102981775,0.5878947368421052,305.6530722040678,1
151114,22976,1739215,240,1,Male,No,0,Not Graduate,No,Semiurban,627,638,383722,174090,7246.729166666667,24.019937279205266,4.009976436519245,0.7666315789473684,325.3749781471694,0
155810,138277,1248699,217,0,Male,Yes,0,Graduate,No,Urban,892,898,510044,294087,5754.373271889401,51.09781522536344,2.2296444565069886,0.6597894736842105,345.25887485419383,1
147733,97149,742905,197,1,Male,Yes,3+,Graduate,No,Semiurban,454,848,51019,244882,3771.0913705583757,64.91942425131408,7.354111602767796,0.8004210526315789,358.94110430602063,1
160421,47873,397015,50,1,Male,Yes,0,Graduate,No,Urban,575,680,469123,208294,7940.3,26.22920680493118,0.7647802158640631,0.7678947368421052,335.1350284231519,1
